Species,Classification
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Pseudo-nitzschia,Diatom
Rhizosolenia sp.,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Rhizosolenia sp.,Diatom
Ditylum bright-welli,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Licmophora sp.,Diatom
Chaetoceros similis,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia,Diatom
Ditylum bright-welli,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros similis,Diatom
Chaetoceros similis,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia,Diatom
Melosira sp,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Coscinodiscus granii,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Coscinodiscus granii,Diatom
Melosira sp,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Pseudo-nitzschia,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Coscinodiscus granii,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros sp.,Diatom
Licmophora sp.,Diatom
Ditylum bright-welli,Diatom
Triceratium sp.,Diatom
Melosira sp,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Licmophora sp.,Diatom
Rhizosolenia sp.,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros sp.,Diatom
Licmophora sp.,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Pseudo-nitzschia,Diatom
Rhizosolenia sp.,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Nitzschia sp.,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Asterionellopsis glacialis,Diatom
Pseudo-nitzschia,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Licmophora sp.,Diatom
Pseudo-nitzschia,Diatom
Melosira sp,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Melosira sp,Diatom
Pseudo-nitzschia,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Melosira sp,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Licmophora sp.,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Rhizosolenia sp.,Diatom
Melosira sp,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Pseudo-nitzschia,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Pseudo-nitzschia,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Melosira sp,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Melosira sp,Diatom
Coscinodiscus granii,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Pseudo-nitzschia,Diatom
Pseudo-nitzschia,Diatom
Melosira sp,Diatom
Rhizosolenia sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Triceratium sp.,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Chaetoceros sp.,Diatom
Bacillaria paxillifera,Diatom
Coscinodiscus granii,Diatom
Coscinodiscus granii,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Rhizosolenia sp.,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Pleurosigma,Diatom
Coscinodiscus granii,Diatom
Coscinodiscus granii,Diatom
Rhizosolenia sp.,Diatom
Licmophora sp.,Diatom
Bacillaria paxillifera,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Bacillaria paxillifera,Diatom
Bacillaria paxillifera,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Pleurosigma,Diatom
Pseudo-nitzschia,Diatom
Bacillaria paxillifera,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Triceratium sp.,Diatom
Coscinodiscus granii,Diatom
Bacillaria paxillifera,Diatom
Coscinodiscus granii,Diatom
Pleurosigma,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Bacillaria paxillifera,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Pleurosigma,Diatom
Navicula sp.,Diatom
Melosira sp,Diatom
Ditylum bright-welli,Diatom
Licmophora sp.,Diatom
Ditylum bright-welli,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Rhizosolenia sp.,Diatom
Pseudo-nitzschia,Diatom
Melosira sp,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Melosira sp,Diatom
Pleurosigma,Diatom
Melosira sp,Diatom
Licmophora sp.,Diatom
Pseudo-nitzschia,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Coscinodiscus granii,Diatom
Coscinodiscus granii,Diatom
Nitzschia sp.,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Licmophora sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros debilis,Diatom
Navicula sp.,Diatom
Nitzschia sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros similis,Diatom
Nitzschia sp.,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Rhizosolenia sp.,Diatom
Rhizosolenia sp.,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia australis,Diatom
Rhizosolenia sp.,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Bacillaria sp.,Diatom
Coscinodiscus granii,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Bacillaria sp.,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Triceratium sp.,Diatom
Melosira sp,Diatom
Bacillaria sp.,Diatom
Melosira sp,Diatom
Melosira sp,Diatom
Triceratium sp.,Diatom
Triceratium sp.,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Triceratium sp.,Diatom
Coscinodiscus granii,Diatom
Triceratium sp.,Diatom
Coscinodiscus granii,Diatom
Bacillaria sp.,Diatom
Pleurosigma,Diatom
Closterium navicula,Diatom
Bacillaria sp.,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Rhizosolenia sp.,Diatom
Coscinodiscus granii,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Pleurosigma,Diatom
Bacillaria sp.,Diatom
Triceratium sp.,Diatom
Coscinodiscus granii,Diatom
Bacillaria sp.,Diatom
Melosira sp,Diatom
Ditylum bright-welli,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Triceratium sp.,Diatom
Licmophora sp.,Diatom
Navicula sp.,Diatom
Licmophora sp.,Diatom
Navicula sp.,Diatom
Ditylum bright-welli,Diatom
Rhizosolenia sp.,Diatom
Pseudo-nitzschia australis,Diatom
Pseudo-nitzschia australis,Diatom
Chaetoceros sp.,Diatom
Bacillaria sp.,Diatom
Licmophora sp.,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Pleurosigma,Diatom
Coscinodiscus granii,Diatom
Bacillaria sp.,Diatom
Licmophora sp.,Diatom
Ditylum bright-welli,Diatom
Bacillaria sp.,Diatom
Coscinodiscus granii,Diatom
Pleurosigma,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Melosira sp,Diatom
Bacillaria sp.,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Thalassionema sp,Diatom
Navicula sp.,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Bacillaria sp.,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Pleurosigma,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Pseudo-nitzschia australis,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Navicula sp.,Diatom
Ditylum bright-welli,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Navicula sp.,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Asterionellopsis glacialis,Diatom
Coscinodiscus granii,Diatom
Skeletonema costatum,Diatom
Coscinodiscus granii,Diatom
Skeletonema costatum,Diatom
Pseudo-nitzschia australis,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Navicula sp.,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Navicula sp.,Diatom
Ditylum bright-welli,Diatom
Rhizosolenia sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Bacillaria sp.,Diatom
Licmophora sp.,Diatom
Navicula sp.,Diatom
Thalassionema sp,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Rhizosolenia sp.,Diatom
Skeletonema costatum,Diatom
Chaetoceros sp.,Diatom
Odontella,Diatom
Pseudo-nitzschia australis,Diatom
Thalassionema sp,Diatom
Skeletonema costatum,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Rhizosolenia sp.,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Skeletonema costatum,Diatom
Eucampia sp.,Diatom
Asterionellopsis glacialis,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Rhizosolenia sp.,Diatom
Ditylum sp.,Diatom
Thalassionema sp,Diatom
Rhizosolenia sp.,Diatom
Coscinodiscus,Diatom
Eucampia sp.,Diatom
Chaetoceros sp.,Diatom
Thalassiosira sp,Diatom
Melosira sp,Diatom
Navicula sp.,Diatom
Ditylum bright-welli,Diatom
Skeletonema costatum,Diatom
Skeletonema costatum,Diatom
Coscinodiscus,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Thalassiosira sp,Diatom
Rhizosolenia sp.,Diatom
Navicula sp.,Diatom
Melosira sp,Diatom
Pseudo-nitzschia australis,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Licmophora sp.,Diatom
Skeletonema costatum,Diatom
Odontella,Diatom
Coscinodiscus granii,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Asterionellopsis glacialis,Diatom
Pseudo-nitzschia australis,Diatom
Navicula sp.,Diatom
Triceratium sp.,Diatom
Thalassionema sp,Diatom
Ditylum bright-welli,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Eucampia sp.,Diatom
Nitzschia sp.,Diatom
Navicula sp.,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Skeletonema costatum,Diatom
Rhizosolenia sp.,Diatom
Melosira sp,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Licmophora sp.,Diatom
Thalassiosira sp,Diatom
Rhizosolenia sp.,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Melosira sp,Diatom
Navicula sp.,Diatom
Ditylum bright-welli,Diatom
Thalassionema nitzschioides,Diatom
Navicula sp.,Diatom
Rhizosolenia sp.,Diatom
Thalassiosira sp,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Ditylum bright-welli,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Navicula sp.,Diatom
Pseudo-nitzschia australis,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Skeletonema costatum,Diatom
Coscinodiscus granii,Diatom
Nitzschia sp.,Diatom
Skeletonema costatum,Diatom
Rhizosolenia sp.,Diatom
Melosira sp,Diatom
Coscinodiscus granii,Diatom
Pseudo-nitzschia australis,Diatom
Thalassionema nitzschioides,Diatom
Ditylum bright-welli,Diatom
Navicula sp.,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia australis,Diatom
Licmophora sp.,Diatom
Skeletonema costatum,Diatom
Ditylum bright-welli,Diatom
Thalassionema nitzschioides,Diatom
Pleurosigma capensis,Diatom
Gyrosigma sp.,Diatom
Thalassiosira sp,Diatom
Rhizosolenia sp.,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Rhizosolenia sp.,Diatom
Pseudo-nitzschia australis,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Melosira sp,Diatom
Skeletonema costatum,Diatom
Nitzschia sp.,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Coscinodiscus granii,Diatom
Pseudo-nitzschia australis,Diatom
Licmophora sp.,Diatom
Navicula sp.,Diatom
Chaetoceros sp.,Diatom
Nitzschia sp.,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Pseudo-nitzschia australis,Diatom
Melosira sp,Diatom
Thalassiosira sp,Diatom
Ditylum bright-welli,Diatom
Coscinodiscus granii,Diatom
Skeletonema costatum,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia australis,Diatom
Thalassionema sp,Diatom
Ditylum bright-welli,Diatom
Navicula sp.,Diatom
Thalassiosira sp,Diatom
Coscinodiscus granii,Diatom
Thalassionema nitzschioides,Diatom
Skeletonema costatum,Diatom
Chaetoceros sp.,Diatom
Navicula sp.,Diatom
Nitzschia sp.,Diatom
Thalassiosira sp,Diatom
Pseudo-nitzschia australis,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Ditylum bright-welli,Diatom
Triceratium sp.,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Navicula sp.,Diatom
Nitzschia sp.,Diatom
Chaetoceros sp.,Diatom
Pseudo-nitzschia australis,Diatom
Rhizosolenia sp.,Diatom
Coscinodiscus granii,Diatom
Ditylum bright-welli,Diatom
Skeletonema costatum,Diatom
Nitzschia sp.,Diatom
Licmophora sp.,Diatom
Chaetoceros sp.,Diatom
Navicula sp.,Diatom
Melosira sp,Diatom
Skeletonema costatum,Diatom
Triceratium sp.,Diatom
Rhizosolenia sp.,Diatom
Coscinodiscus granii,Diatom
Nitzschia sp.,Diatom
Thalassiosira sp,Diatom
Stephanopyxis,Diatom
Melosira sp,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Navicula sp.,Diatom
Licmophora sp.,Diatom
Stephanopyxis,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Thalassionema sp,Diatom
Ditylum bright-welli,Diatom
Skeletonema costatum,Diatom
Eucampia sp.,Diatom
Coscinodiscus granii,Diatom
Navicula sp.,Diatom
Rhizosolenia sp.,Diatom
Pseudo-nitzschia australis,Diatom
Thalassionema sp,Diatom
Stephanopyxis,Diatom
Melosira sp,Diatom
Thalassiosira sp,Diatom
Rhizosolenia sp.,Diatom
Coscinodiscus granii,Diatom
Pseudo-nitzschia australis,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Navicula sp.,Diatom
Licmophora sp.,Diatom
Triceratium sp.,Diatom
Navicula sp.,Diatom
Thalassionema sp,Diatom
Licmophora sp.,Diatom
Ditylum bright-welli,Diatom
Stephanopyxis,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Eucampia sp.,Diatom
Coscinodiscus granii,Diatom
Pseudo-nitzschia australis,Diatom
Licmophora sp.,Diatom
Thalassiosira sp,Diatom
Melosira sp,Diatom
Chaetoceros sp.,Diatom
Skeletonema costatum,Diatom
Navicula sp.,Diatom
Asterionellopsis glacialis,Diatom
Coscinodiscus granii,Diatom
Pseudo-nitzschia australis,Diatom
Triceratium sp.,Diatom
Navicula sp.,Diatom
Skeletonema costatum,Diatom
Chaetoceros sp.,Diatom
Thalassiosira sp,Diatom
Melosira sp,Diatom
Triceratium sp.,Diatom
Pseudo-nitzschia australis,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Melosira sp,Diatom
Navicula sp.,Diatom
Pseudo-nitzschia australis,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Skeletonema costatum,Diatom
Chaetoceros sp.,Diatom
Thalassionema sp,Diatom
Melosira sp,Diatom
Thalassiosira sp,Diatom
Ditylum bright-welli,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Rhizosolenia sp.,Diatom
Asterionellopsis glacialis,Diatom
Pseudo-nitzschia,Diatom
Thalassiosira sp,Diatom
Coscinodiscus granii,Diatom
Rhizosolenia sp.,Diatom
Thalassionema sp,Diatom
Pseudo-nitzschia,Diatom
Triceratium sp.,Diatom
Melosira sp,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Skeletonema costatum,Diatom
Licmophora sp.,Diatom
Rhizosolenia sp.,Diatom
Pseudo-nitzschia,Diatom
Thalassiosira sp,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Navicula sp.,Diatom
Pseudo-nitzschia,Diatom
Asterionellopsis glacialis,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Ditylum bright-welli,Diatom
Skeletonema costatum,Diatom
Pseudo-nitzschia,Diatom
Coscinodiscus granii,Diatom
Melosira sp,Diatom
Licmophora sp.,Diatom
Triceratium sp.,Diatom
Chaetoceros sp.,Diatom
Navicula sp.,Diatom
Ditylum bright-welli,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros didymus,Diatom
Thalassionema nitzschioides,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros similis,Diatom
Pseudo-nitzschia australis,Diatom
Chaetoceros sp.,Diatom
Ditylum bright-welli,Diatom
Chaetoceros conyolutus,Diatom
Chaetoceros radicans,Diatom
Thalassionema nitzschioides,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Asterionellopsis glacialis,Diatom
Chaetoceros didymus,Diatom
Chaetoceros similis,Diatom
Pseudo-nitzschia australis,Diatom
Navicula sp.,Diatom
Rhizosolenia sp.,Diatom
Thalassionema sp,Diatom
Asterionellopsis glacialis,Diatom
Rhizosolenia sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Navicula sp.,Diatom
Pseudo-nitzschia,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Navicula sp.,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Navicula sp.,Diatom
Chaetoceros sp.,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Coscinodiscus granii,Diatom
Licmophora sp.,Diatom
Chaetoceros sp.,Diatom
Melosira sp,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Thalassionema sp,Diatom
Chaetoceros sp.,Diatom
Bacillaria sp.,Diatom
Pseudo-nitzschia,Diatom
Melosira sp,Diatom
Thalassiosira sp,Diatom
Thalassionema sp,Diatom
Skeletonema costatum,Diatom
Navicula sp.,Diatom
Pseudo-nitzschia,Diatom
Ditylum bright-welli,Diatom
Chaetoceros sp.,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Thalassiosira sp,Diatom
Melosira sp,Diatom
Licmophora sp.,Diatom
Rhizosolenia sp.,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Cylindrotheca closterium,Diatom
Eucampia sp.,Diatom
Chaetoceros sp.,Diatom
Asterionellopsis glacialis,Diatom
Ditylum bright-welli,Diatom
Thalassiosira sp,Diatom
Licmophora sp.,Diatom
Melosira sp,Diatom
Cylindrotheca closterium,Diatom
Coscinodiscus granii,Diatom
Skeletonema costatum,Diatom
Eucampia sp.,Diatom
Navicula sp.,Diatom
Chaetoceros sp.,Diatom
Skeletonema costatum,Diatom
Pseudo-nitzschia,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Rhizosolenia sp.,Diatom
Ditylum bright-welli,Diatom
Licmophora sp.,Diatom
Coscinodiscus granii,Diatom
Thalassionema sp,Diatom
Chaetoceros sp.,Diatom
Navicula sp.,Diatom
Licmophora sp.,Diatom
Pseudo-nitzschia,Diatom
Melosira sp,Diatom
Asterionellopsis glacialis,Diatom
Cylindrotheca closterium,Diatom
Rhizosolenia sp.,Diatom
Chaetoceros sp.,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Melosira sp,Diatom
Bacillaria sp.,Diatom
Licmophora sp.,Diatom
Navicula sp.,Diatom
Coscinodiscus granii,Diatom
Chaetoceros sp.,Diatom
Eucampia sp.,Diatom
Licmophora sp.,Diatom
Triceratium sp.,Diatom
Coscinodiscus granii,Diatom
Cylindrotheca closterium,Diatom
Chaetoceros sp.,Diatom
Navicula sp.,Diatom
Bacillaria sp.,Diatom
Ditylum bright-welli,Diatom
Pseudo-nitzschia,Diatom
Melosira sp,Diatom
