,Sample,Date,Time,Counted.by.,Site,Weather,DO..mg.L.,Saturation....,Temperature..â..C.,Volume.Filtered..ml.,Frames.counted,Volume.counted,Species,Classification,Cells.Counted,Cells.L
282,NA,2017/04/06,08:00,Lorna,Primary sump,Rainy,,NA,17.6,5000,1,0.001,Ceratium furca,Dinoflagellate,3,600
283,NA,2017/04/11,08:00,Lorna,Primary sump,Sunny,,NA,16.8,5000,1,0.001,Ceratium furca,Dinoflagellate,3,600
284,NA,2017/05/03,08:00,Lorna,Primary sump,Cloudy,,NA,12.6,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
285,NA,2017/05/08,08:00,Lorna,Primary sump,Clear,,NA,12.6,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
286,NA,2017/05/09,08:00,Lorna,Primary sump,Clear,,NA,12.9,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
287,NA,2017/05/10,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,5,1000
288,NA,2017/05/11,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
289,NA,2017/05/12,08:00,Lorna,Primary sump,Clear,,NA,12.9,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
290,NA,2017/05/15,08:00,Lorna,Primary sump,Clear,,NA,11.6,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
291,NA,2017/05/17,08:00,Lorna,Primary sump,Cloudy,,NA,12,5000,1,0.001,Ceratium furca,Dinoflagellate,4,800
292,NA,2017/05/18,08:00,Lorna,Primary sump,Sunny,,NA,12.4,5000,1,0.001,Ceratium furca,Dinoflagellate,4,800
293,NA,2017/05/19,08:00,Lorna,Primary sump,Sunny,,NA,12.6,5000,1,0.001,Ceratium furca,Dinoflagellate,15,3000
294,NA,2017/05/22,08:00,Lorna,Primary sump,Clear,,NA,12.8,5000,1,0.001,Ceratium furca,Dinoflagellate,9,1800
295,NA,2017/05/24,08:00,Lorna,Primary sump,Rainy,,NA,13.4,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
296,NA,2017/05/25,08:00,Lorna,Primary sump,Clear,,NA,13.4,5000,1,0.001,Ceratium furca,Dinoflagellate,16,3200
297,NA,2017/05/26,08:00,Lorna,Primary sump,Cloudy,,NA,13.2,5000,1,0.001,Ceratium furca,Dinoflagellate,27,5400
298,NA,2017/05/29,08:00,Lorna,Primary sump,Sunny,,NA,14,5000,1,0.001,Ceratium furca,Dinoflagellate,15,3000
299,NA,2017/05/30,08:00,Lorna,Primary sump,Sunny,,NA,14.3,5000,1,0.001,Ceratium furca,Dinoflagellate,8,1600
300,NA,2017/05/31,08:00,Lorna,Primary sump,Cloudy,,NA,14.3,5000,1,0.001,Ceratium furca,Dinoflagellate,18,3600
301,NA,2017/06/01,08:00,Lorna,Primary sump,Clear,,NA,14.2,5000,1,0.001,Ceratium furca,Dinoflagellate,14,2800
302,NA,2017/06/02,08:00,Lorna,Primary sump,Clear,,NA,14.5,5000,1,0.001,Ceratium furca,Dinoflagellate,14,2800
303,NA,2017/06/05,08:00,Lorna,Primary sump,Sunny,,NA,14.7,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
304,NA,2017/06/06,08:00,Lorna,Primary sump,Windy,,NA,15.1,5000,1,0.001,Ceratium furca,Dinoflagellate,4,800
305,NA,2017/06/08,08:00,Lorna,Primary sump,Rainy,,NA,12.9,5000,1,0.001,Ceratium furca,Dinoflagellate,19,3800
306,NA,2017/06/09,08:00,Lorna,Primary sump,Cloudy,,NA,12.9,5000,1,0.001,Ceratium furca,Dinoflagellate,16,3200
307,NA,2017/06/19,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,7,1400
308,NA,2017/06/20,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,5,1000
309,NA,2017/06/21,08:00,Lorna,Primary sump,Clear,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
310,NA,2017/06/22,08:00,Lorna,Primary sump,Rainy,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,4,800
311,NA,2017/06/23,08:00,Lorna,Primary sump,Rainy,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,21,4200
312,NA,2017/06/26,08:00,Lorna,Primary sump,Cloudy,,NA,14.4,5000,1,0.001,Ceratium furca,Dinoflagellate,14,2800
313,NA,2017/06/27,08:00,Lorna,Primary sump,Cloudy,,NA,14.5,5000,1,0.001,Ceratium furca,Dinoflagellate,12,2400
314,NA,2017/06/28,08:00,Lorna,Primary sump,Rainy,,NA,14.3,5000,1,0.001,Ceratium furca,Dinoflagellate,7,1400
315,NA,2017/06/29,08:00,Lorna,Primary sump,Cloudy,,NA,14.4,5000,1,0.001,Ceratium furca,Dinoflagellate,6,1200
316,NA,2017/06/30,08:00,Lorna,Primary sump,Rainy,,NA,14.6,5000,1,0.001,Ceratium furca,Dinoflagellate,4,800
317,NA,2017/07/04,08:00,Lorna,Primary sump,Cloudy,,NA,14.8,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
318,NA,2017/07/11,08:00,Lorna,Primary sump,Cloudy,,NA,14.8,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
319,NA,2017/07/14,08:00,Lorna,Primary sump,Clear,,NA,14.5,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
320,NA,2017/07/17,08:00,Lorna,Primary sump,Cloudy,,NA,14.8,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
321,NA,2017/08/04,08:00,Lorna,Primary sump,Sunny,,NA,14.9,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
322,NA,2017/08/29,08:00,Lorna,Primary sump,Sunny,,NA,9.8,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
323,NA,2017/10/17,08:00,Lorna,Primary sump,Sunny,,NA,14.6,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
324,NA,2017/10/19,08:00,Lorna,Primary sump,Sunny,,NA,15.2,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
325,NA,2017/10/23,08:00,Lorna,Primary sump,Sunny,,NA,15.9,5000,1,0.001,Ceratium furca,Dinoflagellate,4,800
326,NA,2017/10/24,08:00,Lorna,Primary sump,Windy,,NA,15.4,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
327,NA,2017/10/26,08:00,Lorna,Primary sump,Cloudy,,NA,15.2,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
328,NA,2017/10/29,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
329,NA,2017/11/01,08:00,Lorna,Primary sump,Rainy,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
330,NA,2017/11/06,08:00,Lorna,Primary sump,Rainy,,NA,15.9,5000,1,0.001,Ceratium furca,Dinoflagellate,4,800
331,NA,2017/11/07,08:00,Lorna,Primary sump,Sunny,,NA,15.9,5000,1,0.001,Ceratium furca,Dinoflagellate,3,600
332,NA,2017/11/08,08:00,Lorna,Primary sump,Sunny,,NA,15.1,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
333,NA,2017/11/20,08:00,Lorna,Primary sump,Cloudy,,NA,16.4,5000,1,0.001,Ceratium furca,Dinoflagellate,5,1000
334,NA,2017/11/21,08:00,Lorna,Primary sump,Windy,,NA,16,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
335,NA,2017/11/23,08:00,Lorna,Primary sump,Cloudy,,NA,14,5000,1,0.001,Ceratium furca,Dinoflagellate,3,600
336,NA,2017/11/24,08:00,Lorna,Primary sump,Cloudy,,NA,16.1,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
337,NA,2017/11/27,08:00,Lorna,Primary sump,Cloudy,,NA,15.3,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
338,NA,2017/12/01,08:00,Lorna,Primary sump,Sunny,,NA,17.6,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
341,NA,2018/01/10,08:00,Pertunia,Primary sump,Sunny,,NA,18.1,5000,1,0.001,Ceratium furca,Dinoflagellate,4,800
342,NA,2018/01/11,08:00,Pertunia,Primary sump,Sunny,,NA,16.5,5000,1,0.001,Ceratium furca,Dinoflagellate,4,800
343,NA,2018/01/12,08:00,Pertunia,Primary sump,Sunny,,NA,17.8,5000,1,0.001,Ceratium furca,Dinoflagellate,7,1400
344,NA,2018/01/17,08:00,Lorna,Primary sump,Sunny,,NA,16.8,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
345,NA,2018/01/18,08:00,Lorna,Primary sump,Cloudy,,NA,12.8,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
346,NA,2018/01/19,08:00,Pertunia,Primary sump,Rainy,,NA,11.4,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
347,NA,2018/01/23,08:00,Pertunia,Primary sump,Sunny,,NA,11.8,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
348,NA,2018/01/24,08:00,Pertunia,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,5,1000
349,NA,2018/01/25,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
372,NA,2018/03/01,08:00,Lorna,Primary sump,Clear,,NA,16.5,5000,1,0.001,Ceratium furca,Dinoflagellate,3,600
373,NA,2018/03/02,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,3,600
374,NA,2018/03/05,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
375,NA,2018/03/08,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,5,1000
376,NA,2018/03/20,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
377,NA,2018/03/23,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,7,1400
378,NA,2018/04/19,08:00,Lorna,Primary sump,,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,13,2600
379,NA,2018/04/20,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,13,2600
380,NA,2018/04/23,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,10,2000
381,NA,2018/04/24,08:00,Lorna,Primary sump,Clear,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,5,1000
382,NA,2018/04/25,08:00,Lorna,Primary sump,Windy,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,3,600
383,NA,2018/04/26,08:00,Lorna,Primary sump,Rainy,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,6,1200
812,NA,2017/03/06,08:00,Lorna,Primary sump,Sunny,,NA,17.7,5000,1,0.001,Ceratium fusus,Dinoflagellate,4,800
813,NA,2017/03/07,08:00,Lorna,Primary sump,Sunny,,NA,17.1,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
814,NA,2017/03/08,08:00,Lorna,Primary sump,Clear,,NA,17,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
815,NA,2017/03/09,08:00,Lorna,Primary sump,Cloudy,,NA,16.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
816,NA,2017/03/10,08:00,Lorna,Primary sump,,,NA,11.8,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
817,NA,2017/03/16,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
818,NA,2017/03/23,08:00,Lorna,Primary sump,Cloudy,,NA,15,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
819,NA,2017/03/23,08:00,Lorna,Primary sump,Cloudy,,NA,12.1,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
820,NA,2017/03/24,08:00,Lorna,Primary sump,Cloudy,,NA,14.7,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
821,NA,2017/03/30,08:00,Lorna,Primary sump,Sunny,,NA,14.2,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
822,NA,2017/04/04,08:00,Lorna,Primary sump,Cloudy,,NA,18.6,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
823,NA,2017/04/06,08:00,Lorna,Primary sump,Rainy,,NA,17.6,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
824,NA,2017/04/11,08:00,Lorna,Primary sump,Sunny,,NA,16.8,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
825,NA,2017/04/12,08:00,Lorna,Primary sump,Cloudy,,NA,15,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
826,NA,2017/04/13,08:00,Lorna,Primary sump,Windy,,NA,14.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,6,1200
827,NA,2017/05/05,08:00,Lorna,Primary sump,Sunny,,NA,10.7,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
828,NA,2017/05/08,08:00,Lorna,Primary sump,Clear,,NA,12.6,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
829,NA,2017/05/09,08:00,Lorna,Primary sump,Clear,,NA,12.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
830,NA,2017/05/10,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,4,800
831,NA,2017/05/11,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
832,NA,2017/05/12,08:00,Lorna,Primary sump,Clear,,NA,12.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
833,NA,2017/05/16,08:00,Lorna,Primary sump,Clear,,NA,11.7,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
834,NA,2017/05/18,08:00,Lorna,Primary sump,Sunny,,NA,12.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,14,2800
835,NA,2017/05/19,08:00,Lorna,Primary sump,Sunny,,NA,12.6,5000,1,0.001,Ceratium fusus,Dinoflagellate,37,7400
836,NA,2017/05/22,08:00,Lorna,Primary sump,Clear,,NA,12.8,5000,1,0.001,Ceratium fusus,Dinoflagellate,9,1800
837,NA,2017/05/23,08:00,Lorna,Primary sump,Clear,,NA,12.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,9,1800
838,NA,2017/05/24,08:00,Lorna,Primary sump,Rainy,,NA,13.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
839,NA,2017/05/26,08:00,Lorna,Primary sump,Cloudy,,NA,13.2,5000,1,0.001,Ceratium fusus,Dinoflagellate,8,1600
840,NA,2017/05/30,08:00,Lorna,Primary sump,Sunny,,NA,14.3,5000,1,0.001,Ceratium fusus,Dinoflagellate,4,800
841,NA,2017/05/31,08:00,Lorna,Primary sump,Cloudy,,NA,14.3,5000,1,0.001,Ceratium fusus,Dinoflagellate,5,1000
842,NA,2017/06/01,08:00,Lorna,Primary sump,Clear,,NA,14.2,5000,1,0.001,Ceratium fusus,Dinoflagellate,11,2200
843,NA,2017/06/02,08:00,Lorna,Primary sump,Clear,,NA,14.5,5000,1,0.001,Ceratium fusus,Dinoflagellate,8,1600
844,NA,2017/06/05,08:00,Lorna,Primary sump,Sunny,,NA,14.7,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
845,NA,2017/06/08,08:00,Lorna,Primary sump,Rainy,,NA,12.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,8,1600
846,NA,2017/06/09,08:00,Lorna,Primary sump,Cloudy,,NA,12.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,7,1400
847,NA,2017/06/19,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
848,NA,2017/06/20,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
849,NA,2017/06/21,08:00,Lorna,Primary sump,Clear,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
850,NA,2017/06/22,08:00,Lorna,Primary sump,Rainy,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
851,NA,2017/06/23,08:00,Lorna,Primary sump,Rainy,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
852,NA,2017/06/26,08:00,Lorna,Primary sump,Cloudy,,NA,14.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
853,NA,2017/06/27,08:00,Lorna,Primary sump,Cloudy,,NA,14.5,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
854,NA,2017/06/28,08:00,Lorna,Primary sump,Rainy,,NA,14.3,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
855,NA,2017/06/29,08:00,Lorna,Primary sump,Cloudy,,NA,14.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,4,800
856,NA,2017/06/30,08:00,Lorna,Primary sump,Rainy,,NA,14.6,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
857,NA,2017/07/04,08:00,Lorna,Primary sump,Cloudy,,NA,14.8,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
858,NA,2017/07/07,08:00,Lorna,Primary sump,Sunny,,NA,14.6,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
859,NA,2017/07/10,08:00,Lorna,Primary sump,Cloudy,,NA,14.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
860,NA,2017/07/17,08:00,Lorna,Primary sump,Cloudy,,NA,14.8,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
861,NA,2017/09/20,08:00,Lorna,Primary sump,Sunny,,NA,14.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
862,NA,2017/09/21,08:00,Lorna,Primary sump,Cloudy,,NA,13.6,5000,1,0.001,Ceratium fusus,Dinoflagellate,4,800
863,NA,2017/09/26,08:00,Lorna,Primary sump,Sunny,,NA,14.5,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
864,NA,2017/09/27,08:00,Lorna,Primary sump,Sunny,,NA,15.2,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
865,NA,2017/10/16,08:00,Lorna,Primary sump,Cloudy,,NA,14.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
866,NA,2017/10/19,08:00,Lorna,Primary sump,Sunny,,NA,15.2,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
867,NA,2017/10/23,08:00,Lorna,Primary sump,Sunny,,NA,15.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
868,NA,2017/10/24,08:00,Lorna,Primary sump,Windy,,NA,15.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
869,NA,2017/10/25,08:00,Lorna,Primary sump,Rainy,,NA,15.3,5000,1,0.001,Ceratium fusus,Dinoflagellate,4,800
870,NA,2017/10/26,08:00,Lorna,Primary sump,Cloudy,,NA,15.2,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
871,NA,2017/10/27,08:00,Lorna,Primary sump,Sunny,,NA,15.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
872,NA,2017/10/29,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
873,NA,2017/10/30,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
874,NA,2017/10/31,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,4,800
875,NA,2017/11/01,08:00,Lorna,Primary sump,Rainy,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
876,NA,2017/11/02,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
877,NA,2017/11/06,08:00,Lorna,Primary sump,Rainy,,NA,15.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,15,3000
878,NA,2017/11/07,08:00,Lorna,Primary sump,Sunny,,NA,15.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,32,6400
879,NA,2017/11/08,08:00,Lorna,Primary sump,Sunny,,NA,15.1,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
880,NA,2017/11/10,08:00,Lorna,Primary sump,Sunny,,NA,14,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
881,NA,2017/11/13,08:00,Lorna,Primary sump,Cloudy,,NA,16.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,3,600
882,NA,2017/11/14,08:00,Lorna,Primary sump,Cloudy,,NA,15.9,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
883,NA,2017/11/15,08:00,Lorna,Primary sump,Sunny,,NA,16.7,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
884,NA,2017/11/16,08:00,Lorna,Primary sump,Sunny,,NA,15.6,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
885,NA,2017/11/17,08:00,Lorna,Primary sump,Sunny,,NA,15.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
886,NA,2017/11/20,08:00,Lorna,Primary sump,Cloudy,,NA,16.4,5000,1,0.001,Ceratium fusus,Dinoflagellate,8,1600
887,NA,2017/11/21,08:00,Lorna,Primary sump,Windy,,NA,16,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
888,NA,2017/11/22,08:00,Lorna,Primary sump,Rainy,,NA,14.7,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
889,NA,2017/11/23,08:00,Lorna,Primary sump,Cloudy,,NA,14,5000,1,0.001,Ceratium fusus,Dinoflagellate,5,1000
890,NA,2017/11/24,08:00,Lorna,Primary sump,Cloudy,,NA,16.1,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
891,NA,2017/11/29,08:00,Lorna,Primary sump,Sunny,,NA,15.8,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
892,NA,2017/12/04,08:00,Lorna,Primary sump,Sunny,,NA,16.1,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
896,NA,2018/01/10,08:00,Pertunia,Primary sump,Sunny,,NA,18.1,5000,1,0.001,Ceratium fusus,Dinoflagellate,2,400
897,NA,2018/01/11,08:00,Pertunia,Primary sump,Sunny,,NA,16.5,5000,1,0.001,Ceratium fusus,Dinoflagellate,9,1800
898,NA,2018/01/12,08:00,Pertunia,Primary sump,Sunny,,NA,17.8,5000,1,0.001,Ceratium fusus,Dinoflagellate,1,200
