Sample,Species,Classification,Threat,Cells Counted ,Frames counted,Total Count
1301,Bacillaria,Diatom,,3,42,357
1302,Bacillaria,Diatom,,7,40,875
1303,Bacillaria,Diatom,,1,36,139
1305,Bacillaria,Diatom,,1,35,143
1306,Bacillaria,Diatom,,3,52,288
1307,Bacillaria,Diatom,,1,57,88
1308,Bacillaria,Diatom,,3,50,300
1309,Bacillaria,Diatom,,3,50,300
1310,Bacillaria,Diatom,,2,54,185
1311,Bacillaria,Diatom,,1,32,156
1315,Bacillaria,Diatom,,10,72,694
1319,Bacillaria,Diatom,,1,47,106
1320,Bacillaria,Diatom,,2,33,303
1321,Bacillaria,Diatom,,1,47,106
1323,Bacillaria,Diatom,,1,36,139
1332,Bacillaria,Diatom,,1,25,200
390,Bacillaria paxillifera,Diatom,, 2 ,20,100
395,Bacillaria paxillifera,Diatom,, 1 ,20,50
396,Bacillaria paxillifera,Diatom,, 1 ,20,50
398,Bacillaria paxillifera,Diatom,, 1 ,20,50
399,Bacillaria paxillifera,Diatom,, 15 ,20,750
401,Bacillaria paxillifera,Diatom,, 3 ,20,150
402,Bacillaria paxillifera,Diatom,, 2 ,20,100
1325,Bacillaria paxillifera,Diatom,,3,47,319
1326,Bacillaria paxillifera,Diatom,,5,41,610
1327,Bacillaria paxillifera,Diatom,,2,30,333
1328,Bacillaria paxillifera,Diatom,,1,29,172
1329,Bacillaria paxillifera,Diatom,,1,41,122
1330,Bacillaria paxillifera,Diatom,,1,28,179
1331,Bacillaria paxillifera,Diatom,,1,67,75
1329,Biddulphia,Diatom,,1,41,122
1294,Boreadium pisiforme,Dinoflagellate,,1,49,102
1295,Boreadium pisiforme,Dinoflagellate,,1,39,128
1297,Boreadium pisiforme,Dinoflagellate,,1,50,100
2,Ceratium,Dinoflagellate,, 2 ,20,100
34,Ceratium,Dinoflagellate,, 1 ,20,50
1228,Ceratium candelabrum,Dinoflagellate,,1,7,714
21,Ceratium dens,Dinoflagellate,, 3 ,20,150
22,Ceratium dens,Dinoflagellate,, 1 ,20,50
35,Ceratium dens,Dinoflagellate,, 1 ,20,50
36,Ceratium dens,Dinoflagellate,, 1 ,20,50
48,Ceratium dens,Dinoflagellate,, 1 ,20,50
51,Ceratium dens,Dinoflagellate,, 1 ,20,50
64,Ceratium dens,Dinoflagellate,, 1 ,20,50
65,Ceratium dens,Dinoflagellate,, 1 ,20,50
175,Ceratium dens,Dinoflagellate,, 1 ,20,50
192,Ceratium dens,Dinoflagellate,, 1 ,20,50
206,Ceratium dens,Dinoflagellate,, 2 ,20,100
207,Ceratium dens,Dinoflagellate,, 2 ,20,100
209,Ceratium dens,Dinoflagellate,, 1 ,20,50
238,Ceratium dens,Dinoflagellate,, 2 ,20,100
239,Ceratium dens,Dinoflagellate,, 1 ,20,50
256,Ceratium dens,Dinoflagellate,, 2 ,20,100
257,Ceratium dens,Dinoflagellate,, 1 ,20,50
263,Ceratium dens,Dinoflagellate,, 2 ,20,100
267,Ceratium dens,Dinoflagellate,, 2 ,20,100
269,Ceratium dens,Dinoflagellate,, 2 ,20,100
272,Ceratium dens,Dinoflagellate,, 2 ,20,100
273,Ceratium dens,Dinoflagellate,, 1 ,20,50
298,Ceratium dens,Dinoflagellate,, 1 ,20,50
376,Ceratium dens,Dinoflagellate,, 1 ,20,50
389,Ceratium dens,Dinoflagellate,, 1 ,20,50
391,Ceratium dens,Dinoflagellate,, 1 ,20,50
394,Ceratium dens,Dinoflagellate,, 1 ,20,50
400,Ceratium dens,Dinoflagellate,, 1 ,20,50
402,Ceratium dens,Dinoflagellate,, 1 ,20,50
403,Ceratium dens,Dinoflagellate,, 1 ,20,50
572,Ceratium dens,Dinoflagellate,, 1 ,20,50
574,Ceratium dens,Dinoflagellate,, 1 ,20,50
959,Ceratium dens,Dinoflagellate,,4,20,1000
960,Ceratium dens,Dinoflagellate,,1,20,250
961,Ceratium dens,Dinoflagellate,,2,20,500
964,Ceratium dens,Dinoflagellate,,2,20,500
965,Ceratium dens,Dinoflagellate,,2,20,500
966,Ceratium dens,Dinoflagellate,,1,20,250
980,Ceratium dens,Dinoflagellate,,1,20,250
988,Ceratium dens,Dinoflagellate,,1,20,250
1008,Ceratium dens,Dinoflagellate,,1,20,250
1020,Ceratium dens,Dinoflagellate,,1,20,250
1022,Ceratium dens,Dinoflagellate,,1,20,250
1236,Ceratium dens,Dinoflagellate,,1,30,33
1,Ceratium furca,Dinoflagellate,, 1 ,20,50
2,Ceratium furca,Dinoflagellate,, 6 ,20,300
3,Ceratium furca,Dinoflagellate,, 2 ,20,100
4,Ceratium furca,Dinoflagellate,, 3 ,20,150
5,Ceratium furca,Dinoflagellate,, 2 ,20,100
6,Ceratium furca,Dinoflagellate,, 5 ,20,250
7,Ceratium furca,Dinoflagellate,, 2 ,20,100
8,Ceratium furca,Dinoflagellate,, 11 ,20,550
9,Ceratium furca,Dinoflagellate,, 11 ,20,550
10,Ceratium furca,Dinoflagellate,, 10 ,20,500
11,Ceratium furca,Dinoflagellate,, 12 ,20,600
12,Ceratium furca,Dinoflagellate,, 4 ,20,200
13,Ceratium furca,Dinoflagellate,, 5 ,20,250
14,Ceratium furca,Dinoflagellate,, 2 ,20,100
15,Ceratium furca,Dinoflagellate,, 2 ,20,100
17,Ceratium furca,Dinoflagellate,, 23 ,20,1150
18,Ceratium furca,Dinoflagellate,, 10 ,20,500
19,Ceratium furca,Dinoflagellate,, 13 ,20,650
20,Ceratium furca,Dinoflagellate,, 40 ,20,2000
21,Ceratium furca,Dinoflagellate,, 115 ,20,5750
22,Ceratium furca,Dinoflagellate,, 456 ,20,22800
23,Ceratium furca,Dinoflagellate,, 87 ,20,4350
24,Ceratium furca,Dinoflagellate,, 17 ,20,850
26,Ceratium furca,Dinoflagellate,, 1 ,20,50
27,Ceratium furca,Dinoflagellate,, 11 ,20,550
28,Ceratium furca,Dinoflagellate,, 6 ,20,300
28,Ceratium furca,Dinoflagellate,, 8 ,20,400
29,Ceratium furca,Dinoflagellate,, 11 ,20,550
30,Ceratium furca,Dinoflagellate,, 6 ,20,300
31,Ceratium furca,Dinoflagellate,, 1 ,20,50
32,Ceratium furca,Dinoflagellate,, 6 ,20,300
33,Ceratium furca,Dinoflagellate,, 9 ,20,450
34,Ceratium furca,Dinoflagellate,, 5 ,20,250
35,Ceratium furca,Dinoflagellate,, 24 ,20,1200
36,Ceratium furca,Dinoflagellate,, 24 ,20,1200
37,Ceratium furca,Dinoflagellate,, 10 ,20,500
38,Ceratium furca,Dinoflagellate,, 5 ,20,250
39,Ceratium furca,Dinoflagellate,, 3 ,20,150
40,Ceratium furca,Dinoflagellate,, 2 ,20,100
43,Ceratium furca,Dinoflagellate,, 5 ,20,250
45,Ceratium furca,Dinoflagellate,, 8 ,20,400
46,Ceratium furca,Dinoflagellate,, 2 ,20,100
47,Ceratium furca,Dinoflagellate,, 3 ,20,150
48,Ceratium furca,Dinoflagellate,, 4 ,20,200
49,Ceratium furca,Dinoflagellate,, 2 ,20,100
50,Ceratium furca,Dinoflagellate,, 2 ,20,100
51,Ceratium furca,Dinoflagellate,, 10 ,20,500
52,Ceratium furca,Dinoflagellate,, 24 ,20,1200
54,Ceratium furca,Dinoflagellate,, 17 ,20,850
56,Ceratium furca,Dinoflagellate,, 27 ,20,1350
57,Ceratium furca,Dinoflagellate,, 24 ,20,1200
58,Ceratium furca,Dinoflagellate,, 32 ,20,1600
59,Ceratium furca,Dinoflagellate,, 15 ,20,750
63,Ceratium furca,Dinoflagellate,, 14 ,20,700
64,Ceratium furca,Dinoflagellate,, 31 ,20,1550
65,Ceratium furca,Dinoflagellate,, 21 ,20,1050
76,Ceratium furca,Dinoflagellate,, 21 ,20,1050
77,Ceratium furca,Dinoflagellate,, 32 ,20,1600
78,Ceratium furca,Dinoflagellate,, 12 ,20,600
79,Ceratium furca,Dinoflagellate,, 4 ,20,200
80,Ceratium furca,Dinoflagellate,, 10 ,20,500
113,Ceratium furca,Dinoflagellate,, 4 ,20,200
114,Ceratium furca,Dinoflagellate,, 2 ,20,100
115,Ceratium furca,Dinoflagellate,, 1 ,20,50
148,Ceratium furca,Dinoflagellate,, 5 ,20,250
149,Ceratium furca,Dinoflagellate,, 1 ,20,50
150,Ceratium furca,Dinoflagellate,, 3 ,20,150
152,Ceratium furca,Dinoflagellate,, 4 ,20,200
153,Ceratium furca,Dinoflagellate,, 3 ,20,150
154,Ceratium furca,Dinoflagellate,, 2 ,20,100
155,Ceratium furca,Dinoflagellate,, 1 ,20,50
156,Ceratium furca,Dinoflagellate,, 1 ,20,50
160,Ceratium furca,Dinoflagellate,, 1 ,20,50
162,Ceratium furca,Dinoflagellate,, 1 ,20,50
171,Ceratium furca,Dinoflagellate,, 5 ,20,250
172,Ceratium furca,Dinoflagellate,, 5 ,20,250
173,Ceratium furca,Dinoflagellate,, 6 ,20,300
175,Ceratium furca,Dinoflagellate,, 19 ,20,950
178,Ceratium furca,Dinoflagellate,, 5 ,20,250
186,Ceratium furca,Dinoflagellate,, 15 ,20,750
187,Ceratium furca,Dinoflagellate,, 9 ,20,450
189,Ceratium furca,Dinoflagellate,, 3 ,20,150
190,Ceratium furca,Dinoflagellate,, 1 ,20,50
191,Ceratium furca,Dinoflagellate,, 7 ,20,350
192,Ceratium furca,Dinoflagellate,, 5 ,20,250
193,Ceratium furca,Dinoflagellate,, 6 ,20,300
194,Ceratium furca,Dinoflagellate,, 9 ,20,450
195,Ceratium furca,Dinoflagellate,, 3 ,20,150
196,Ceratium furca,Dinoflagellate,, 10 ,20,500
197,Ceratium furca,Dinoflagellate,, 3 ,20,150
202,Ceratium furca,Dinoflagellate,, 3 ,20,150
203,Ceratium furca,Dinoflagellate,, 7 ,20,350
206,Ceratium furca,Dinoflagellate,, 6 ,20,300
207,Ceratium furca,Dinoflagellate,, 7 ,20,350
209,Ceratium furca,Dinoflagellate,, 6 ,20,300
212,Ceratium furca,Dinoflagellate,, 12 ,20,600
213,Ceratium furca,Dinoflagellate,, 1 ,20,50
214,Ceratium furca,Dinoflagellate,, 7 ,20,350
228,Ceratium furca,Dinoflagellate,, 13 ,20,650
229,Ceratium furca,Dinoflagellate,, 5 ,20,250
230,Ceratium furca,Dinoflagellate,, 7 ,20,350
231,Ceratium furca,Dinoflagellate,, 1 ,20,50
234,Ceratium furca,Dinoflagellate,, 4 ,20,200
236,Ceratium furca,Dinoflagellate,, 7 ,20,350
238,Ceratium furca,Dinoflagellate,, 2 ,20,100
238,Ceratium furca,Dinoflagellate,, 4 ,20,200
239,Ceratium furca,Dinoflagellate,, 4 ,20,200
255,Ceratium furca,Dinoflagellate,, 4 ,20,200
256,Ceratium furca,Dinoflagellate,, 4 ,20,200
257,Ceratium furca,Dinoflagellate,, 2 ,20,100
258,Ceratium furca,Dinoflagellate,, 78 ,20,3900
260,Ceratium furca,Dinoflagellate,, 16 ,20,800
263,Ceratium furca,Dinoflagellate,, 24 ,20,1200
264,Ceratium furca,Dinoflagellate,, 8 ,20,400
267,Ceratium furca,Dinoflagellate,, 52 ,20,2600
268,Ceratium furca,Dinoflagellate,, 8 ,20,400
269,Ceratium furca,Dinoflagellate,, 30 ,20,1500
270,Ceratium furca,Dinoflagellate,, 16 ,20,800
271,Ceratium furca,Dinoflagellate,, 11 ,20,550
272,Ceratium furca,Dinoflagellate,, 10 ,20,500
273,Ceratium furca,Dinoflagellate,, 17 ,20,850
274,Ceratium furca,Dinoflagellate,, 10 ,20,500
275,Ceratium furca,Dinoflagellate,, 8 ,20,400
276,Ceratium furca,Dinoflagellate,, 4 ,20,200
298,Ceratium furca,Dinoflagellate,, 23 ,6,3833
302,Ceratium furca,Dinoflagellate,, 30 ,20,1500
340,Ceratium furca,Dinoflagellate,, 37 ,10,3700
342,Ceratium furca,Dinoflagellate,, 45 ,10,4500
343,Ceratium furca,Dinoflagellate,, 44 ,10,4400
344,Ceratium furca,Dinoflagellate,, 20 ,10,2000
345,Ceratium furca,Dinoflagellate,, 48 ,10,4800
346,Ceratium furca,Dinoflagellate,, 15 ,10,1500
347,Ceratium furca,Dinoflagellate,, 36 ,10,3600
348,Ceratium furca,Dinoflagellate,, 14 ,10,1400
349,Ceratium furca,Dinoflagellate,, 63 ,10,6300
350,Ceratium furca,Dinoflagellate,, 16 ,10,1600
351,Ceratium furca,Dinoflagellate,, 64 ,10,6400
352,Ceratium furca,Dinoflagellate,, 7 ,10,700
353,Ceratium furca,Dinoflagellate,, 124 ,5,24800
354,Ceratium furca,Dinoflagellate,, 97 ,5,19400
355,Ceratium furca,Dinoflagellate,, 80 ,5,16000
356,Ceratium furca,Dinoflagellate,, 3 ,5,600
357,Ceratium furca,Dinoflagellate,, 212 ,5,42400
359,Ceratium furca,Dinoflagellate,, 21 ,5,4200
360,Ceratium furca,Dinoflagellate,, 1 ,5,200
374,Ceratium furca,Dinoflagellate,, 2 ,20,100
376,Ceratium furca,Dinoflagellate,, 8 ,20,400
378,Ceratium furca,Dinoflagellate,, 9 ,20,450
379,Ceratium furca,Dinoflagellate,, 1 ,20,50
380,Ceratium furca,Dinoflagellate,, 21 ,20,1050
381,Ceratium furca,Dinoflagellate,, 15 ,20,750
382,Ceratium furca,Dinoflagellate,, 15 ,20,750
383,Ceratium furca,Dinoflagellate,, 14 ,20,700
384,Ceratium furca,Dinoflagellate,, 38 ,20,1900
385,Ceratium furca,Dinoflagellate,, 36 ,20,1800
386,Ceratium furca,Dinoflagellate,, 12 ,20,600
387,Ceratium furca,Dinoflagellate,, 9 ,20,450
388,Ceratium furca,Dinoflagellate,, 23 ,20,1150
389,Ceratium furca,Dinoflagellate,, 5 ,20,250
390,Ceratium furca,Dinoflagellate,, 7 ,20,350
391,Ceratium furca,Dinoflagellate,, 13 ,20,650
392,Ceratium furca,Dinoflagellate,, 15 ,20,750
393,Ceratium furca,Dinoflagellate,, 3 ,20,150
394,Ceratium furca,Dinoflagellate,, 2 ,20,100
395,Ceratium furca,Dinoflagellate,, 2 ,20,100
396,Ceratium furca,Dinoflagellate,, 3 ,20,150
398,Ceratium furca,Dinoflagellate,, 6 ,20,300
399,Ceratium furca,Dinoflagellate,, 1 ,20,50
400,Ceratium furca,Dinoflagellate,, 15 ,20,750
401,Ceratium furca,Dinoflagellate,, 6 ,20,300
402,Ceratium furca,Dinoflagellate,, 19 ,20,950
403,Ceratium furca,Dinoflagellate,, 22 ,20,1100
538,Ceratium furca,Dinoflagellate,, 3 ,10,300
539,Ceratium furca,Dinoflagellate,, 9 ,10,900
570,Ceratium furca,Dinoflagellate,, 3 ,20,150
571,Ceratium furca,Dinoflagellate,, 3 ,20,150
572,Ceratium furca,Dinoflagellate,, 3 ,20,150
573,Ceratium furca,Dinoflagellate,, 1 ,20,50
574,Ceratium furca,Dinoflagellate,, 11 ,20,550
575,Ceratium furca,Dinoflagellate,, 5 ,20,250
956,Ceratium furca,Dinoflagellate,,29,20,7250
957,Ceratium furca,Dinoflagellate,,19,20,4750
958,Ceratium furca,Dinoflagellate,,15,20,3750
959,Ceratium furca,Dinoflagellate,,25,20,6250
960,Ceratium furca,Dinoflagellate,,18,20,4500
961,Ceratium furca,Dinoflagellate,,18,20,4500
962,Ceratium furca,Dinoflagellate,,16,20,4000
963,Ceratium furca,Dinoflagellate,,32,20,8000
964,Ceratium furca,Dinoflagellate,,18,20,4500
965,Ceratium furca,Dinoflagellate,,19,20,4750
966,Ceratium furca,Dinoflagellate,,16,20,4000
967,Ceratium furca,Dinoflagellate,,14,20,3500
968,Ceratium furca,Dinoflagellate,,6,20,1500
969,Ceratium furca,Dinoflagellate,HAB,3,20,750
970,Ceratium furca,Dinoflagellate,,1,20,250
971,Ceratium furca,Dinoflagellate,,1,20,250
972,Ceratium furca,Dinoflagellate,,4,20,1000
973,Ceratium furca,Dinoflagellate,,10,20,2500
974,Ceratium furca,Dinoflagellate,,10,20,2500
975,Ceratium furca,Dinoflagellate,,9,20,2250
976,Ceratium furca,Dinoflagellate,,6,20,1500
977,Ceratium furca,Dinoflagellate,,21,20,5250
978,Ceratium furca,Dinoflagellate,,10,20,2500
979,Ceratium furca,Dinoflagellate,,6,20,1500
980,Ceratium furca,Dinoflagellate,,76,20,19000
981,Ceratium furca,Dinoflagellate,,37,20,9250
984,Ceratium furca,Dinoflagellate,,214,20,53500
985,Ceratium furca,Dinoflagellate,,109,20,27250
986,Ceratium furca,Dinoflagellate,,160,20,40000
987,Ceratium furca,Dinoflagellate,,66,20,16500
988,Ceratium furca,Dinoflagellate,,71,20,17750
989,Ceratium furca,Dinoflagellate,,31,20,7750
992,Ceratium furca,Dinoflagellate,,28,20,7000
993,Ceratium furca,Dinoflagellate,,18,20,4500
994,Ceratium furca,Dinoflagellate,,36,20,9000
995,Ceratium furca,Dinoflagellate,,21,20,5250
996,Ceratium furca,Dinoflagellate,,51,20,12750
997,Ceratium furca,Dinoflagellate,,37,20,9250
998,Ceratium furca,Dinoflagellate,,30,20,7500
1004,Ceratium furca,Dinoflagellate,,22,20,5500
1005,Ceratium furca,Dinoflagellate,,145,20,36250
1006,Ceratium furca,Dinoflagellate,,136,20,34000
1008,Ceratium furca,Dinoflagellate,,70,20,17500
1009,Ceratium furca,Dinoflagellate,,13,5,13000
1011,Ceratium furca,Dinoflagellate,,26,20,6500
1012,Ceratium furca,Dinoflagellate,,16,20,4000
1014,Ceratium furca,Dinoflagellate,,23,20,5750
1017,Ceratium furca,Dinoflagellate,,26,20,6500
1019,Ceratium furca,Dinoflagellate,,22,20,5500
1020,Ceratium furca,Dinoflagellate,,72,20,18000
1021,Ceratium furca,Dinoflagellate,,13,20,3250
1022,Ceratium furca,Dinoflagellate,,38,20,9500
1023,Ceratium furca,Dinoflagellate,,5,20,1250
1024,Ceratium furca,Dinoflagellate,,17,20,4250
1025,Ceratium furca,Dinoflagellate,,6,20,1500
1025,Ceratium furca,Dinoflagellate,,20,20,5000
1026,Ceratium furca,Dinoflagellate,,9,20,2250
1027,Ceratium furca,Dinoflagellate,,18,20,4500
1043,Ceratium furca,Dinoflagellate,,97,20,24250
1055,Ceratium furca,Dinoflagellate,,13,20,3250
1109,Ceratium furca,Dinoflagellate,,5,20,1250
1110,Ceratium furca,Dinoflagellate,,1,20,250
1111,Ceratium furca,Dinoflagellate,,33,20,8250
1112,Ceratium furca,Dinoflagellate,,17,20,4250
1115,Ceratium furca,Dinoflagellate,,404,20,101000
1116,Ceratium furca,Dinoflagellate,,190,20,47500
1117,Ceratium furca,Dinoflagellate,,39,5,39000
1118,Ceratium furca,Dinoflagellate,,75,20,18750
1119,Ceratium furca,Dinoflagellate,,25,20,6250
1120,Ceratium furca,Dinoflagellate,,22,20,5500
1121,Ceratium furca,Dinoflagellate,,45,20,11250
1122,Ceratium furca,Dinoflagellate,,23,5,23000
1123,Ceratium furca,Dinoflagellate,,19,5,19000
1124,Ceratium furca,Dinoflagellate,,41,10,20500
1125,Ceratium furca,Dinoflagellate,,21,10,10500
1126,Ceratium furca,Dinoflagellate,,48,10,24000
1127,Ceratium furca,Dinoflagellate,,19,10,9500
1128,Ceratium furca,Dinoflagellate,,4,5,4000
1129,Ceratium furca,Dinoflagellate,,5,5,5000
1130,Ceratium furca,Dinoflagellate,,9,10,4500
1131,Ceratium furca,Dinoflagellate,,10,10,5000
1132,Ceratium furca,Dinoflagellate,,2,10,1000
1133,Ceratium furca,Dinoflagellate,,4,10,2000
1134,Ceratium furca,Dinoflagellate,,16,10,8000
1135,Ceratium furca,Dinoflagellate,,1,10,500
1136,Ceratium furca,Dinoflagellate,,1,20,250
1137,Ceratium furca,Dinoflagellate,,1,20,250
1138,Ceratium furca,Dinoflagellate,,51,20,12750
1139,Ceratium furca,Dinoflagellate,,37,10,18500
1140,Ceratium furca,Dinoflagellate,,8,20,2000
1141,Ceratium furca,Dinoflagellate,,27,20,6750
1142,Ceratium furca,Dinoflagellate,,18,10,9000
1144,Ceratium furca,Dinoflagellate,,106,20,26500
1145,Ceratium furca,Dinoflagellate,,56,10,28000
1146,Ceratium furca,Dinoflagellate,,7,10,3500
1146,Ceratium furca,Dinoflagellate,,42,10,21000
1147,Ceratium furca,Dinoflagellate,,6,20,1500
1148,Ceratium furca,Dinoflagellate,,2,20,500
1148,Ceratium furca,Dinoflagellate,,23,20,5750
1149,Ceratium furca,Dinoflagellate,,10,20,2500
1155,Ceratium furca,Dinoflagellate,,9,5,9000
1158,Ceratium furca,Dinoflagellate,,11,20,2750
1159,Ceratium furca,Dinoflagellate,,90,20,22500
1160,Ceratium furca,Dinoflagellate,,35,20,8750
1161,Ceratium furca,Dinoflagellate,,31,20,7750
1167,Ceratium furca,Dinoflagellate,,77,10,38500
1169,Ceratium furca,Dinoflagellate,,10,15,3333
1171,Ceratium furca,Dinoflagellate,,21,20,5250
1172,Ceratium furca,Dinoflagellate,,22,20,5500
1173,Ceratium furca,Dinoflagellate,,28,20,7000
1174,Ceratium furca,Dinoflagellate,,13,20,3250
1175,Ceratium furca,Dinoflagellate,,12,20,3000
1176,Ceratium furca,Dinoflagellate,,4,20,1000
1177,Ceratium furca,Dinoflagellate,,5,20,1250
1186,Ceratium furca,Dinoflagellate,,5,20,1250
1187,Ceratium furca,Dinoflagellate,,4,20,1000
1188,Ceratium furca,Dinoflagellate,,6,20,1500
1191,Ceratium furca,Dinoflagellate,,6,20,1500
1192,Ceratium furca,Dinoflagellate,,1,20,250
1194,Ceratium furca,Dinoflagellate,,10,20,2500
1196,Ceratium furca,Dinoflagellate,,10,20,2500
1198,Ceratium furca,Dinoflagellate,,5,20,1250
1199,Ceratium furca,Dinoflagellate,,1,125,40
1200,Ceratium furca,Dinoflagellate,,1,125,40
1203,Ceratium furca,Dinoflagellate,,1,45,111
1209,Ceratium furca,Dinoflagellate,,3,20,750
1210,Ceratium furca,Dinoflagellate,,2,20,500
1211,Ceratium furca,Dinoflagellate,,1,20,250
1216,Ceratium furca,Dinoflagellate,,1,20,250
1217,Ceratium furca,Dinoflagellate,,1,20,250
1218,Ceratium furca,Dinoflagellate,,1,20,250
1219,Ceratium furca,Dinoflagellate,,2,20,500
1231,Ceratium furca,Dinoflagellate,,1,40,125
1233,Ceratium furca,Dinoflagellate,,1,40,125
1235,Ceratium furca,Dinoflagellate,,4,40,100
1236,Ceratium furca,Dinoflagellate,,1,30,33
1247,Ceratium furca,Dinoflagellate,,1,328,3
1249,Ceratium furca,Dinoflagellate,,1,200,25
1250,Ceratium furca,Dinoflagellate,,2,150,67
1251,Ceratium furca,Dinoflagellate,,1,200,25
1252,Ceratium furca,Dinoflagellate,,1,100,50
1254,Ceratium furca,Dinoflagellate,,3,150,100
1255,Ceratium furca,Dinoflagellate,,4,150,133
1257,Ceratium furca,Dinoflagellate,,2,200,50
1259,Ceratium furca,Dinoflagellate,,4,150,133
1260,Ceratium furca,Dinoflagellate,,2,150,67
1261,Ceratium furca,Dinoflagellate,,4,200,100
1262,Ceratium furca,Dinoflagellate,,2,150,67
1264,Ceratium furca,Dinoflagellate,,1,150,33
1265,Ceratium furca,Dinoflagellate,,5,200,125
1266,Ceratium furca,Dinoflagellate,,1,200,25
1267,Ceratium furca,Dinoflagellate,,3,150,100
1268,Ceratium furca,Dinoflagellate,,1,200,25
1269,Ceratium furca,Dinoflagellate,,1,150,33
1270,Ceratium furca,Dinoflagellate,,1,150,33
1271,Ceratium furca,Dinoflagellate,,6,110,273
1272,Ceratium furca,Dinoflagellate,,6,110,273
1275,Ceratium furca,Dinoflagellate,,1,110,45
1279,Ceratium furca,Dinoflagellate,,1,100,50
1280,Ceratium furca,Dinoflagellate,,1,100,50
1282,Ceratium furca,Dinoflagellate,,1,150,33
1283,Ceratium furca,Dinoflagellate,,2,100,100
1289,Ceratium furca,Dinoflagellate,,1,30,167
1293,Ceratium furca,Dinoflagellate,,2,66,152
1294,Ceratium furca,Dinoflagellate,,1,49,102
1301,Ceratium furca,Dinoflagellate,,1,42,119
1308,Ceratium furca,Dinoflagellate,,3,50,300
1309,Ceratium furca,Dinoflagellate,,1,50,100
1310,Ceratium furca,Dinoflagellate,,1,54,93
1311,Ceratium furca,Dinoflagellate,,2,32,313
1313,Ceratium furca,Dinoflagellate,,3,20,750
